ISO_CODE,ENGLISH_NAME,TRADITIONAL_CHINESE_NAME
TWN,Taiwan,台灣
CHN,China,中國
JPN,Japan,日本
KOR,South Korea,韓國
PRK,North Korea,北韓
USA,United States,美國
GBR,United Kingdom,英國
FRA,France,法國
DEU,Germany,德國
ITA,Italy,義大利
ESP,Spain,西班牙
RUS,Russia,俄羅斯
IND,India,印度
IDN,Indonesia,印尼
PAK,Pakistan,巴基斯坦
BGD,Bangladesh,孟加拉
PHL,Philippines,菲律賓
VNM,Vietnam,越南
THA,Thailand,泰國
MYS,Malaysia,馬來西亞
SGP,Singapore,新加坡
MMR,Myanmar,緬甸
KHM,Cambodia,柬埔寨
LAO,Laos,寮國
BRN,Brunei,汶萊
AFG,Afghanistan,阿富汗
IRN,Iran,伊朗
IRQ,Iraq,伊拉克
SAU,Saudi Arabia,沙烏地阿拉伯
ARE,United Arab Emirates,阿拉伯聯合大公國
ISR,Israel,以色列
PSE,Palestine,巴勒斯坦
TUR,Turkey,土耳其
SYR,Syria,敘利亞
LBN,Lebanon,黎巴嫩
JOR,Jordan,約旦
YEM,Yemen,葉門
OMN,Oman,阿曼
KWT,Kuwait,科威特
QAT,Qatar,卡達
BHR,Bahrain,巴林
EGY,Egypt,埃及
LBY,Libya,利比亞
TUN,Tunisia,突尼西亞
DZA,Algeria,阿爾及利亞
MAR,Morocco,摩洛哥
SDN,Sudan,蘇丹
ETH,Ethiopia,衣索比亞
KEN,Kenya,肯亞
TZA,Tanzania,坦尚尼亞
UGA,Uganda,烏干達
ZAF,South Africa,南非
NGA,Nigeria,奈及利亞
GHA,Ghana,迦納
SEN,Senegal,塞內加爾
MLI,Mali,馬利
BFA,Burkina Faso,布吉納法索
NER,Niger,尼日
TCD,Chad,查德
CMR,Cameroon,喀麥隆
CAF,Central African Republic,中非共和國
COD,Democratic Republic of the Congo,剛果民主共和國
COG,Republic of the Congo,剛果共和國
GAB,Gabon,加彭
GNQ,Equatorial Guinea,赤道幾內亞
STP,Sao Tome and Principe,聖多美普林西比
GNB,Guinea-Bissau,幾內亞比索
GIN,Guinea,幾內亞
SLE,Sierra Leone,獅子山
LBR,Liberia,賴比瑞亞
CIV,Ivory Coast,象牙海岸
GHA,Ghana,迦納
TGO,Togo,多哥
BEN,Benin,貝南
BRA,Brazil,巴西
ARG,Argentina,阿根廷
CHL,Chile,智利
PER,Peru,秘魯
COL,Colombia,哥倫比亞
VEN,Venezuela,委內瑞拉
ECU,Ecuador,厄瓜多
BOL,Bolivia,玻利維亞
PRY,Paraguay,巴拉圭
URY,Uruguay,烏拉圭
GUY,Guyana,蓋亞那
SUR,Suriname,蘇利南
FRA,French Guiana,法屬蓋亞那
MEX,Mexico,墨西哥
GTM,Guatemala,瓜地馬拉
BLZ,Belize,貝里斯
SLV,El Salvador,薩爾瓦多
HND,Honduras,宏都拉斯
NIC,Nicaragua,尼加拉瓜
CRI,Costa Rica,哥斯大黎加
PAN,Panama,巴拿馬
CUB,Cuba,古巴
JAM,Jamaica,牙買加
HTI,Haiti,海地
DOM,Dominican Republic,多明尼加共和國
PRI,Puerto Rico,波多黎各
CAN,Canada,加拿大
AUS,Australia,澳洲
NZL,New Zealand,紐西蘭
PNG,Papua New Guinea,巴布亞紐幾內亞
FJI,Fiji,斐濟
VUT,Vanuatu,萬那杜
SLB,Solomon Islands,索羅門群島
NCL,New Caledonia,新喀里多尼亞
AZE,Azerbaijan,亞塞拜然
ARM,Armenia,亞美尼亞
GEO,Georgia,喬治亞
KAZ,Kazakhstan,哈薩克
UZB,Uzbekistan,烏茲別克
TKM,Turkmenistan,土庫曼
TJK,Tajikistan,塔吉克
KGZ,Kyrgyzstan,吉爾吉斯
MNG,Mongolia,蒙古
PRK,North Korea,北韓



